chr	position	GM06990_ABL1	GM06990_MLLT3
8	5900001	-0.046610519	0.784640833
8	6000001	-0.349271924	0.784640833
8	6100001	-0.349271924	0.784640833
8	6200001	-0.349271924	0.784640833
8	6300001	-0.349271924	0.462550726
8	6400001	-0.349271924	-0.181629164
8	6500001	-0.651933222	-0.825809256
8	6600001	-0.651933222	-1.147899242
8	6700001	-0.651933222	-1.147899242
8	6800001	-1.257255924	-1.469989268
8	6900001	-1.559917257	-1.792079294
8	7000001	-1.559917257	-1.792079294
8	7100001	-1.559917257	-1.792079294
8	7200001	-0.954594591	-1.469989268
8	7300001	-0.954594591	-1.469989268
8	7400001	-0.954594591	-1.469989268
8	7500001	-0.954594591	-1.147899242
8	7600001	-0.954594591	-1.147899242
8	7700001	-0.954594591	-0.825809256
8	7800001	-0.349271924	-0.181629164
8	7900001	-0.349271924	-0.181629164
8	8000001	-0.349271924	0.462550726
8	8100001	-0.349271924	0.462550726
8	8200001	-0.954594591	0.140460781
8	8300001	-0.349271924	0.140460781
8	8400001	-0.046610519	0.140460781
8	8500001	-0.046610519	0.462550726
8	8600001	-0.046610519	0.462550726
8	8700001	-0.046610519	0.140460781
8	8800001	-0.651933222	0.462550726
8	8900001	-0.651933222	0.462550726
8	9000001	-0.349271924	0.140460781
8	9100001	-0.349271924	0.462550726
8	9200001	-0.349271924	0.784640833
8	9300001	-0.651933222	0.784640833
8	9400001	-0.954594591	1.106730859
8	9500001	-0.954594591	1.750910911
8	9600001	-0.954594591	2.395090801
8	9700001	-0.954594591	3.039271096
8	9800001	-0.954594591	3.361361041
8	9900001	-0.954594591	4.327631281
8	10000001	-0.651933222	4.327631281
8	10100001	-0.651933222	4.005540931
8	10200001	-0.349271924	3.683450784
8	10300001	-0.651933222	4.327631281
8	10400001	-0.349271924	4.649721226
8	10500001	0.558712183	4.005540931
8	10600001	0.861373481	4.005540931
8	10700001	1.164034779	3.683450784
8	10800001	1.466696076	2.717180746
8	10900001	1.466696076	2.073000856
8	11000001	1.164034779	1.750910911
8	11100001	1.164034779	1.750910911
8	11200001	0.861373481	1.750910911
8	11300001	0.861373481	1.106730859
8	11400001	0.558712183	0.462550726
8	11500001	-0.046610519	-0.181629164
8	11600001	-0.046610519	-0.50371923
8	11700001	-0.349271924	-0.825809256
8	11800001	-0.046610519	-1.147899242
8	11900001	0.256050886	-1.469989268
8	12000001	0.256050886	-1.469989268
8	12100001	0.558712183	-1.147899242
8	12200001	0.558712183	-1.147899242
8	12300001	0.558712183	-1.147899242
8	12400001	0.558712183	-1.147899242
8	12500001	0.256050886	-0.825809256
8	12600001	-0.046610519	-1.147899242
8	12700001	-0.046610519	-1.147899242
